Volcano Name,Latitude,Longitude
West Eifel Volcanic Field,50.17,6.85
Chaine des Puys,45.786,2.981
Olot Volcanic Field,42.17,2.53
Calatrava Volcanic Field,38.87,-4.02
Colli Albani,41.7569,12.7251
Campi Flegrei,40.827,14.139
Vesuvius,40.821,14.426
Ischia,40.73,13.897
Palinuro,39.48,14.83
Stromboli,38.789,15.213
Panarea,38.638,15.064
Lipari,38.49,14.933
Vulcano,38.404,14.962
Etna,37.748,14.999
Campi Flegrei del Mar di Sicilia,37.1,12.7
Pantelleria,36.77,12.02
Marsili,39.284,14.399
Methana,37.6186,23.3331
Milos,36.699,24.439
Santorini,36.404,25.396
Kolumbo,36.524,25.483
Nisyros,36.5888,27.1553
Kula,38.58,28.52
Hasandag-Keciboyduran Volcanic Complex,38.13,34.17
Erciyes Volcanic Complex,38.531,35.447
Karaca Dag,37.67,39.83
Nemrut Dagi,38.654,42.229
Tenduruk Dagi,39.356,43.874
Ararat,39.7,44.3
Elbrus,43.351,42.442
Kazbek,42.7,44.5
Samsari Volcanic Center,41.542,43.7
Aragats,40.53,44.2
Ghegham Volcanic Ridge,40.283,45
Vaiyots-Sar,39.797,45.497
Porak,40.028,45.74
Tskhouk-Karckar,39.742,45.992
"Tair, Jebel at",15.55,41.83
Zubair Group,15.05,42.18
Zukur,14.02,42.75
Hanish,13.72,42.73
Alid,14.88,39.92
Dallol,14.242,40.3
Gada Ale,13.975,40.408
Alu-Dalafilla,13.793,40.553
Bora Ale,13.725,40.6
Erta Ale,13.601,40.666
Ale Bagu,13.512,40.631
Hayli Gubbi,13.51,40.722
Dubbi,13.579,41.809
Nabro,13.37,41.7
Mallahle,13.27,41.65
Sork Ale,13.18,41.725
Asavyo,13.098,41.599
Mat Ala,13.106,41.161
Tat Ali,13.284,41.063
Borawli,13.304,40.987
Afdera,13.088,40.853
Ma Alalta,13.013,40.185
Alayta,12.888,40.573
Dabbahu,12.595,40.48
Dabbayra,12.38,40.07
Manda Hararo,12.17,40.82
Groppo,11.816,40.242
Kurub,11.88,41.208
Manda-Inakir,12.38,42.2
Mousa Alli,12.469,42.404
Gufa,12.55,42.53
Assab Volcanic Field,12.95,42.43
Ardoukoba,11.58,42.47
Manda Gargori,11.75,41.48
Dama Ali,11.28,41.63
Gabillema,11.08,41.27
Yangudi,10.58,41.042
Ayelu,10.082,40.702
Adwa,10.063,40.831
Hertali,9.78,40.33
Liado Hayk,9.57,40.28
Dofen,9.35,40.13
Fentale,8.985,39.906
Beru,8.95,39.75
Kone,8.8105,39.6946
Boset,8.558,39.475
Bishoftu Volcanic Field,8.78,38.98
Melkassa,8.43,39.35
Gedemsa,8.363,39.172
Bora-Bericha-Tullu Moye,8.2114,39.0812
Unnamed,8.013,39.062
East Ziway,7.874,38.902
Butajiri-Silti Field,8.05,38.35
Aluto,7.77,38.78
Shala,7.4569,38.5571
Corbetti,7.193,38.39
Bilate River Field,7.07,38.1
Northern Lake Abaya Volcanic Field,6.76,37.97
Korath Range,5.117,35.892
Mega Volcanic Field,3.971,38.213
Lake Turkana North Island,4.0631,36.0458
Lake Turkana Central Island,3.496,36.0365
Lake Turkana South Island,2.6364,36.5958
Marsabit,2.32,37.97
"Barrier, The",2.32,36.57
Namarunu,1.98,36.43
Segererua Plateau,1.57,37.9
Emuruangogolak,1.5,36.33
Silali,1.15,36.23
Paka,0.92,36.18
Korosi,0.77,36.12
Ol Kokwe,0.62,36.075
Nyambeni Hills,0.23,37.87
Menengai,-0.2,36.07
Homa Mountain,-0.38,34.5
Elmenteita Badlands,-0.546,36.249
"Eburru, Ol Doinyo",-0.65,36.22
Olkaria,-0.904,36.292
Longonot,-0.914,36.446
Suswa,-1.151,36.357
"Lengai, Ol Doinyo",-2.764,35.914
Chyulu Hills,-2.68,37.88
Meru,-3.244,36.75
Igwisi Hills,-4.889,31.933
Ngozi,-9.0036,33.552
Rungwe,-9.135,33.668
Kyejo,-9.229,33.792
Fort Portal,0.7,30.25
Kyatwa,0.45,30.25
Katwe-Kikorongo,-0.08,29.92
Bunyaruguru,-0.2,30.08
Katunga,-0.471,30.191
Nyamulagira,-1.408,29.2
Nyiragongo,-1.52,29.25
Karisimbi,-1.506,29.45
Visoke,-1.458,29.485
Muhavura,-1.383,29.678
Bufumbira,-1.304,29.683
San Carlos,3.35,8.52
San Joaquin,3.35,8.63
Santa Isabel,3.588,8.762
Cameroon,4.203,9.17
Tombel Graben,4.758,9.717
Oku Volcanic Field,6.25,10.5
Todra Volcanic Field,17.68,8.5
Tahalra Volcanic Field,22.67,5
Atakor Volcanic Field,23.33,5.83
Manzaz Volcanic Field,23.92,5.83
"Toh, Tarso",21.33,16.33
"Tousside, Tarso",21.03,16.45
"Voon, Tarso",20.92,17.28
"Koussi, Emi",19.8,18.53
"Marra, Jebel",12.95,24.27
Kutum Volcanic Field,14.57,25.85
Meidob Volcanic Field,15.32,26.47
